dataset,seed,leak,model,val,test,gap,p_single,p_dup,p_cvgap
ionosphere,1,признак_из_цели,hgb,0.9916294642857143,0.8404074702886247,0.15122199399708958,,,
ionosphere,1,признак_из_цели,logit,0.9787946428571428,0.8138087153367288,0.16498592752041397,,,
ionosphere,1,признак_из_цели,__probes__,,,,0.9566326530612245,0.0,0.0011255087324165691
ionosphere,1,дубликаты,rf,0.984366576819407,0.956140350877193,0.028226225942214023,,,
ionosphere,1,дубликаты,hgb,0.9902964959568733,0.9632144878324844,0.02708200812438888,,,
ionosphere,1,дубликаты,logit,0.9164420485175202,0.9105829088851161,0.005859139632404142,,,
ionosphere,1,дубликаты,__probes__,,,,0.7054988662131519,0.25,0.04843738617323512
ionosphere,1,предобработка_до_сплита,rf,0.845822102425876,0.9567062818336163,-0.11088417940774031,,,
ionosphere,1,предобработка_до_сплита,hgb,0.8355795148247979,0.9632144878324844,-0.12763497300768656,,,
ionosphere,1,предобработка_до_сплита,logit,0.7692722371967655,0.7719298245614035,-0.0026575873646379478,,,
ionosphere,1,предобработка_до_сплита,__probes__,,,,0.7054988662131519,0.0,-0.10790813511766839
ionosphere,2,нет,rf,0.9926428975664968,0.9709821428571428,0.021660754709354024,,,
ionosphere,2,нет,hgb,0.9852857951329937,0.9475446428571428,0.03774115227585095,,,
ionosphere,2,нет,logit,0.9434069043576683,0.8900669642857144,0.05333994007195386,,,
ionosphere,2,нет,__probes__,,,,0.7181831065759637,0.0,0.0448137926915515
ionosphere,2,признак_из_цели,rf,0.9960384833050367,0.9486607142857143,0.04737776901932245,,,
ionosphere,2,признак_из_цели,hgb,0.9937747594793435,0.9045758928571429,0.08919886662220056,,,
ionosphere,2,признак_из_цели,logit,0.9773627617430674,0.9006696428571428,0.07669311888592456,,,
ionosphere,2,признак_из_цели,__probes__,,,,0.9427437641723356,0.0,0.028598814676913054
ionosphere,2,дубликаты,rf,0.9983471074380166,0.9709821428571428,0.027364964580873785,,,
ionosphere,2,дубликаты,hgb,0.9933884297520661,0.9475446428571428,0.0458437868949233,,,
ionosphere,2,дубликаты,logit,0.949862258953168,0.8900669642857144,0.05979529466745359,,,
ionosphere,2,дубликаты,__probes__,,,,0.7181831065759637,0.25,0.05293139407971936
ionosphere,2,предобработка_до_сплита,rf,0.8457300275482094,0.970703125,-0.12497309745179064,,,
ionosphere,2,предобработка_до_сплита,hgb,0.8253443526170798,0.9425223214285714,-0.11717796881149156,,,
ionosphere,2,предобработка_до_сплита,logit,0.7724517906336088,0.78125,-0.008798209366391196,,,
ionosphere,2,предобработка_до_сплита,__probes__,,,,0.7181831065759637,0.0,-0.1157041774266655
chess,0,нет,rf,0.9979848581867491,0.9981731891973332,-0.0001883310105841307,,,
chess,0,нет,hgb,0.9990677614976081,0.999626476829008,-0.0005587153313998394,,,
chess,0,нет,logit,0.9901659823973282,0.991719713234648,-0.0015537308373198,,,
chess,0,нет,__probes__,,,,0.6904709584762323,0.0,-0.00010117731371950267
chess,0,признак_из_цели,rf,0.9981700503471569,0.9584039574623024,0.03976609288485444,,,
chess,0,признак_из_цели,hgb,0.9994915062714227,0.9848832975504414,0.014608208720981342,,,
chess,0,признак_из_цели,logit,0.9983112986050949,0.9776576644443606,0.02065363416073429,,,
chess,0,признак_из_цели,__probes__,,,,0.9545098531639212,0.0,0.0007494734868386255
chess,0,дубликаты,rf,0.9984573707577696,0.9981731891973332,0.00028418156043641396,,,
chess,0,дубликаты,hgb,0.999310206436401,0.999626476829008,-0.00031627039260695433,,,
chess,0,дубликаты,logit,0.990979381443299,0.991719713234648,-0.0007403317913490248,,,
chess,0,дубликаты,__probes__,,,,0.6904709584762323,0.2490613266583229,3.4772761638435234e-05
