model,score_test,score_val,fit_time,dataset,time_limit
LightGBM_r131,0.9849071207430341,0.9659498207885304,0.2512071132659912,ionosphere,900
RandomForestGini,0.9839396284829721,0.9444444444444444,0.46069812774658203,ionosphere,900
RandomForest_r166,0.9839396284829721,0.9444444444444444,0.8432631492614746,ionosphere,900
CatBoost_r69,0.9829721362229102,0.967741935483871,0.5949339866638184,ionosphere,900
ExtraTrees_r172,0.9821981424148606,0.953405017921147,0.4828474521636963,ionosphere,900
RandomForestEntr,0.9818111455108359,0.9560931899641577,0.4750392436981201,ionosphere,900
LightGBM_r143,0.9810371517027864,0.9623655913978495,0.21663236618041992,ionosphere,900
LightGBM_r196,0.9806501547987616,0.9659498207885304,0.49506330490112305,ionosphere,900
CatBoost_r60,0.9802631578947368,0.9641577060931898,0.6745543479919434,ionosphere,900
ExtraTrees_r178,0.9802631578947368,0.953405017921147,0.47966456413269043,ionosphere,900
CatBoost_r137,0.9783281733746131,0.956989247311828,0.5829992294311523,ionosphere,900
CatBoost_r5,0.9783281733746131,0.9605734767025089,0.43860697746276855,ionosphere,900
CatBoost_r6,0.9775541795665635,0.9623655913978495,0.712017297744751,ionosphere,900
LightGBM_r188,0.9775541795665635,0.9731182795698925,0.24297261238098145,ionosphere,900
CatBoost_r49,0.9771671826625387,0.946236559139785,0.5177562236785889,ionosphere,900
CatBoost_r70,0.9771671826625387,0.960573476702509,2.3590035438537598,ionosphere,900
LightGBM_r42,0.9763931888544892,0.96415770609319,0.1568601131439209,ionosphere,900
CatBoost_r50,0.9763931888544891,0.9623655913978495,0.7725613117218018,ionosphere,900
LightGBM,0.9760061919504645,0.9713261648745519,0.15965008735656738,ionosphere,900
CatBoost,0.9752321981424149,0.9426523297491038,0.8646895885467529,ionosphere,900
LightGBMXT,0.9740712074303406,0.9695340501792116,0.17571640014648438,ionosphere,900
XGBoost_r98,0.9740712074303406,0.9659498207885304,1.2118141651153564,ionosphere,900
CatBoost_r12,0.9740712074303405,0.9587813620071685,1.5175583362579346,ionosphere,900
CatBoost_r86,0.9736842105263158,0.9587813620071685,2.3102147579193115,ionosphere,900
CatBoost_r177,0.973297213622291,0.953405017921147,0.7733161449432373,ionosphere,900
LightGBM_r30,0.973297213622291,0.9713261648745519,0.28836989402770996,ionosphere,900
CatBoost_r13,0.9732972136222909,0.9659498207885304,3.184174060821533,ionosphere,900
CatBoost_r128,0.9721362229102167,0.9659498207885304,5.0252909660339355,ionosphere,900
CatBoost_r9,0.9713622291021672,0.9659498207885304,5.694184064865112,ionosphere,900
CatBoost_r143,0.9705882352941176,0.956989247311828,1.198455810546875,ionosphere,900
CatBoost_r163,0.9705882352941176,0.9551971326164875,0.514240026473999,ionosphere,900
XGBoost_r194,0.9705882352941176,0.96415770609319,0.17639851570129395,ionosphere,900
CatBoost_r198,0.9702012383900929,0.9444444444444444,0.8719983100891113,ionosphere,900
WeightedEnsemble_L2,0.9698142414860681,0.9820788530465949,0.35921382904052734,ionosphere,900
RandomForest_r16,0.9694272445820433,0.931899641577061,1.2956256866455078,ionosphere,900
CatBoost_r167,0.9694272445820432,0.9516129032258065,1.2424888610839844,ionosphere,900
XGBoost_r34,0.9686532507739938,0.9659498207885304,0.24980592727661133,ionosphere,900
XGBoost,0.9682662538699691,0.967741935483871,0.16179609298706055,ionosphere,900
XGBoost_r22,0.968266253869969,0.9659498207885304,0.15683746337890625,ionosphere,900
XGBoost_r89,0.9678792569659442,0.967741935483871,0.20592808723449707,ionosphere,900
XGBoost_r31,0.9674922600619196,0.9659498207885304,0.5221259593963623,ionosphere,900
XGBoost_r33,0.9671052631578948,0.9641577060931901,0.5338892936706543,ionosphere,900
